Posted_date,Job Title,Country,Company,Skill
08-15-2024,IT project manager,Germany,"Arrow Electronics, Inc.",R
08-28-2024,IT project manager,Germany,Alcority,R
11-06-2024,IT project manager,Germany,"Vizient, Inc.","Software Development,R"
11-20-2024,IT project manager,Germany,Texas Regional Bank,R
11-12-2024,IT project manager,Germany,JPMorgan Chase,"MAN,Asset Management,R"
08-09-2024,IT project manager,Germany,Fortinet,"Software Development,R"
05-22-2024,IT project manager,Germany,SHIELD AI,"Gin,R"
11-04-2024,IT project manager,Germany,McKesson,"Software Development,R"
11-18-2024,IT project manager,Germany,JPMorgan Chase,"LAN,R"
10-18-2024,IT project manager,Germany,Fujitsu,"LAN,R"
08-22-2024,IT project manager,Germany,Thomson Reuters,"Software Development,R"
12-03-2024,IT project manager,Germany,Dataiku Misc Postings,"LAN,R"
11-01-2024,IT project manager,Germany,Epsilon,"Software Development,R"
09-27-2024,IT project manager,Germany,Micron,"MAN,Project Management,R"
12-07-2024,IT project manager,Germany,Chewy,"Software Development,R"
09-11-2024,IT project manager,Germany,KPMG,"Analytics,Gin,MAN,Data Management,Data Engineering,R"
11-22-2024,IT project manager,Germany,Inclusion Cloud,"LAN,R"
10-25-2024,IT project manager,Germany,NTT Data Services,"Software Development,R"
11-07-2024,IT project manager,Germany,RisamSoft,"Software Development,R"
10-31-2024,IT project manager,Germany,Accenture,"Software Development,R"
09-30-2024,IT project manager,Germany,Indeed,"LAN,R"
11-22-2024,IT project manager,Germany,Palo Alto Networks,R
10-31-2024,IT project manager,Germany,Accenture,"Software Development,R"
11-03-2023,IT project manager,Germany,Dandy,"Leadership,R"
12-04-2024,IT project manager,Germany,clairvoyant,"Software Development,R"
12-04-2024,IT project manager,Germany,EXL Services,"LAN,R"
12-08-2024,IT project manager,Germany,CVS Health,"Gin,Data Engineering,R"
07-28-2022,IT project manager,Germany,AmplifAI Solutions,R
11-07-2024,IT project manager,Germany,NTT Data Services,R
10-14-2024,IT project manager,Germany,NTT Data Services,"LAN,R"
11-26-2024,IT project manager,Germany,Lennox International,R
11-11-2024,IT project manager,Germany,JPMorgan Chase,"LAN,R"
11-15-2024,IT project manager,Germany,Lennar,R
10-03-2024,IT project manager,Germany,AT&amp;T,"LAN,R"
12-09-2024,IT project manager,Germany,Indeed,R
04-30-2024,IT project manager,Germany,Topaz Labs,"LAN,R"
11-27-2024,IT project manager,Germany,NTT Data Services,"LAN,R"
12-05-2024,IT project manager,Germany,NTT Data Services,"Analytics,Gin,MAN,Data Management,Data Engineering,R"
12-10-2024,IT project manager,Germany,Indeed,R
11-07-2024,IT project manager,Germany,NTT Data Services,R
12-02-2024,IT project manager,Germany,Epsilon,"LAN,R"
11-21-2024,IT project manager,Germany,NTT Data Services,"LAN,R"
03-13-2024,IT project manager,Germany,SHIELD AI,R
05-23-2024,IT project manager,Germany,Blue Yonder,R
11-21-2024,IT project manager,Germany,NTT Data Services,"LAN,R"
07-26-2023,IT project manager,Germany,Better Talent Advisors,"Go,R"
02-21-2024,IT project manager,Germany,Brock Solutions,R
11-20-2024,IT project manager,Germany,Aither Systems Holdings LLC,"Software Development,R"
11-04-2024,IT project manager,Germany,Thomson Reuters,R
12-10-2024,IT project manager,Germany,Indeed,R
11-18-2024,IT project manager,Germany,Virtuous,R
12-04-2024,IT project manager,Germany,Fortanix,"Software Development,R"
12-06-2024,IT project manager,Germany,AMH,"LAN,R"
12-07-2024,IT project manager,Germany,Deloitte,"LAN,R"
